n (array size),Threads,Serial (s),Parallel V1 (s),Parallel V2 (s),Parallel V3 (s),Speedup V1,Speedup V2,Speedup V3,Efficiency V1,Efficiency V2,Efficiency V3
1000,2,0.009335,0.003998,0.002789,0.000091,2.34,3.35,102.58,1.17,1.67,51.29
5000,2,0.022208,0.007062,0.006918,0.000128,3.14,3.21,173.50,1.57,1.60,86.75
20000,2,0.051906,0.031747,0.023766,0.000165,1.64,2.18,314.00,0.82,1.09,157.00
50000,2,0.12107,0.060934,0.058071,0.000118,1.99,2.08,1026.86,1.00,1.04,513.43
1000,4,0.009726,0.00186,0.001535,0.001766,5.23,6.34,5.50,1.31,1.58,1.38
5000,4,0.022925,0.006973,0.006949,0.007279,3.29,3.30,3.15,0.82,0.82,0.79
20000,4,0.056629,0.025893,0.013094,0.013246,2.19,4.33,4.28,0.55,1.08,1.07
50000,4,0.127214,0.044613,0.03288,0.033282,2.85,3.87,3.82,0.71,0.97,0.96
1000,8,0.003136,0.001179,0.00099,0.000962,2.66,3.17,3.26,0.33,0.40,0.41
5000,8,0.018574,0.004512,0.003835,0.004853,4.12,4.84,3.83,0.52,0.60,0.48
20000,8,0.052564,0.014678,0.013796,0.014901,3.58,3.81,3.53,0.45,0.48,0.44
50000,8,0.129651,0.032526,0.024417,0.025946,3.99,5.31,4.99,0.50,0.66,0.62
