threads,version,serial_time,parallel_time,speedup,efficiency
2,static,1,3.229237,1.598831,2.019,1.010
2,dynamic,1,3.229237,1.619389,1.995,0.998
2,static,20,3.229237,1.597177,2.022,1.011
2,dynamic,20,3.229237,1.614089,2.000,1.000
4,static,1,3.158334,0.882894,3.579,0.895
4,dynamic,1,3.158334,0.883525,3.574,0.894
4,static,20,3.158334,0.890876,3.546,0.887
4,dynamic,20,3.158334,0.878638,3.594,0.899
8,static,1,3.165608,0.665195,4.756,0.594
8,dynamic,1,3.165608,0.564756,5.602,0.700
8,static,20,3.165608,0.717701,4.411,0.551
8,dynamic,20,3.165608,0.646330,4.898,0.612
