N,Threads,Variant,Serial,Parallel,Speedup
1000,2,ijk,3.533407,2.059509,1.72
1000,2,ikj,2.061399,1.110655,1.86
1000,2,jik,2.611449,1.362631,1.92
1000,2,jki,4.006539,3.785433,1.06
1000,2,kij,2.321903,4.688294,0.50
1000,2,kji,3.444284,3.062235,1.12
1000,2,blocked,2.231019,1.373163,1.62
1000,4,ijk,3.000753,0.869426,3.45
1000,4,ikj,2.053022,0.643320,3.19
1000,4,jik,2.584826,0.783768,3.30
1000,4,jki,3.510977,1.602622,2.19
1000,4,kij,2.442266,1.569578,1.56
1000,4,kji,3.538931,2.130907,1.66
1000,4,blocked,2.411387,0.731760,3.30
1000,8,ijk,2.987764,0.621452,4.81
1000,8,ikj,2.233352,0.453026,4.93
1000,8,jik,2.659933,0.567755,4.68
1000,8,jki,3.584432,1.312242,2.73
1000,8,kij,2.306022,1.100338,2.10
1000,8,kji,3.537046,2.052789,1.72
1000,8,blocked,2.431041,0.586979,4.14
2000,2,ijk,51.656484,33.449325,1.54
2000,2,ikj,17.767727,8.794908,2.02
2000,2,jik,24.660051,12.480290,1.98
2000,2,jki,58.370331,41.723794,1.40
2000,2,kij,16.937896,39.676706,0.43
2000,2,kji,57.642535,56.351880,1.02
2000,2,blocked,17.741433,9.919237,1.79
2000,4,ijk,53.656207,17.315561,3.10
2000,4,ikj,17.158758,5.104081,3.36
2000,4,jik,24.785861,7.410398,3.34
2000,4,jki,64.275605,21.499095,2.99
2000,4,kij,16.902314,13.690750,1.23
2000,4,kji,60.985466,29.155914,2.09
2000,4,blocked,18.326513,5.965383,3.07
2000,8,ijk,51.093496,7.765933,6.58
2000,8,ikj,17.631837,3.776024,4.67
2000,8,jik,24.362935,5.744355,4.24
2000,8,jki,58.106821,14.707971,3.95
2000,8,kij,17.773205,8.588228,2.07
2000,8,kji,56.842621,23.461270,2.42
2000,8,blocked,17.495893,4.088841,4.28
